country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Pakistan,5.26900005340576,0.402047783136368,0.23521526157856,0.124348066747189,0.315446019172668
Indonesia,5.26200008392334,0.492345720529556,0.443323463201523,0.015317135490477,0.611704587936401
Venezuela,5.25,0.617144227027893,0.153997123241425,0.064491122961044,0.065019629895687
Montenegro,5.23699998855591,0.667464673519135,0.194989055395126,0.088174194097519,0.197911024093628
Morocco,5.2350001335144,0.59771066904068,0.408158332109451,0.08776318281889,0.03220995515585
Azerbaijan,5.23400020599365,0.540775775909424,0.398155838251114,0.180987507104874,0.045269340276718
Dominican Republic,5.23000001907349,0.574873745441437,0.55258983373642,0.113945253193378,0.186967849731445
Greece,5.22700023651123,0.810198903083801,0.095731250941753,0.04328977689147,0
Lebanon,5.22499990463257,0.735081076622009,0.288515985012054,0.037513829767704,0.264450758695602
Portugal,5.19500017166138,0.795843541622162,0.498465299606323,0.01586945168674,0.095102712512016
Bosnia and Herzegovina,5.18200016021729,0.705186307430267,0.204403176903725,0,0.328867495059967
Honduras,5.18100023269653,0.582569479942322,0.348079860210419,0.073345452547073,0.236188873648643
Macedonia,5.17500019073486,0.644948184490204,0.325905978679657,0.060277793556452,0.25376096367836
Somalia,5.15100002288818,0.113989137113094,0.602126955986023,0.282410323619843,0.291631311178207
Vietnam,5.07399988174438,0.652168989181519,0.571055591106415,0.087633237242699,0.234968051314354
Nigeria,5.07399988174438,0.056915730237961,0.394952565431595,0.026121566072106,0.230947196483612
Tajikistan,5.04099988937378,0.529235124588013,0.471566706895828,0.146377146244049,0.248997643589973
Bhutan,5.01100015640259,0.495879292488098,0.501537680625916,0.173380389809608,0.474054545164108
Kyrgyzstan,5.00400018692017,0.553457796573639,0.454943388700485,0.039439179003239,0.42858037352562
Nepal,4.96199989318848,0.504130780696869,0.440305948257446,0.072975546121597,0.394096165895462
Mongolia,4.95499992370605,0.557783484458923,0.394143968820572,0.032902289181948,0.338464230298996
South Africa,4.8289999961853,0.187080070376396,0.479246735572815,0.072509497404099,0.139362379908562
Tunisia,4.80499982833862,0.613212049007416,0.289680689573288,0.086723148822784,0.049693357199431
Palestinian Territories,4.77500009536743,0.565666973590851,0.25471106171608,0.089282602071762,0.114173173904419
Egypt,4.7350001335144,0.520187258720398,0.282110154628754,0.114381365478039,0.128631442785263
Bulgaria,4.71400022506714,0.708217680454254,0.289231717586517,0.011051530949771,0.113177694380283
Sierra Leone,4.70900011062622,0.005564753897488,0.318697690963745,0.071095176041126,0.293040901422501
Cameroon,4.69500017166138,0.132892116904259,0.430388748645782,0.051306631416082,0.236298456788063
Iran,4.69199991226196,0.639333188533783,0.249322608113289,0.048761073499918,0.387242913246155
Albania,4.64400005340576,0.731159746646881,0.381498634815216,0.039864215999842,0.201312944293022
Bangladesh,4.60799980163574,0.533241033554077,0.478356659412384,0.123717859387398,0.172255352139473
Namibia,4.57399988174438,0.33861181139946,0.520303547382355,0.093146972358227,0.077133744955063
Kenya,4.55299997329712,0.309988349676132,0.452763766050339,0.064641319215298,0.444860309362411
Mozambique,4.55000019073486,0.106654435396194,0.480791091918945,0.179436385631561,0.322228103876114
Myanmar,4.54500007629395,0.397522568702698,0.514492034912109,0.188816204667091,0.838075160980225
Senegal,4.53499984741211,0.409362852573395,0.377922266721725,0.115460447967052,0.183468893170357
Zambia,4.51399993896484,0.257835894823074,0.461603492498398,0.078213550150394,0.249580144882202
Iraq,4.49700021743774,0.501180469989777,0.288555532693863,0.107215754687786,0.19963726401329
Gabon,4.46500015258789,0.356578588485718,0.312328577041626,0.076046787202358,0.043785378336906
Ethiopia,4.46000003814697,0.353409707546234,0.408842742443085,0.165455713868141,0.312650740146637
Sri Lanka,4.44000005722046,0.625130832195282,0.561213254928589,0.073653966188431,0.490863561630249
Armenia,4.37599992752075,0.637524425983429,0.198303267359734,0.02667442150414,0.083488091826439
India,4.31500005722046,0.455427616834641,0.469987004995346,0.092226885259152,0.231538489460945
Mauritania,4.29199981689453,0.285349279642105,0.09609804302454,0.136957004666328,0.201870024204254
Congo (Brazzaville),4.29099988937378,0.28995743393898,0.435025870800018,0.079618133604527,0.120852127671242
Georgia,4.28599977493286,0.649546980857849,0.309410035610199,0.251666635274887,0.054008815437555
Congo (Kinshasa),4.28000020980835,0.191407024860382,0.235961347818375,0.060241356492043,0.246455833315849
Mali,4.19000005722046,0.169365674257278,0.306613743305206,0.104970246553421,0.183354198932648
Ivory Coast,4.17999982833862,0.048642169684172,0.447706192731857,0.130061775445938,0.201237469911575
Cambodia,4.16800022125244,0.429783403873444,0.633375823497772,0.068105950951576,0.385922968387604
Sudan,4.13899993896484,0.290920823812485,0.014995855279267,0.089847519993782,0.182317450642586
Ghana,4.11999988555908,0.295637726783752,0.423026293516159,0.025336369872093,0.256923943758011
Ukraine,4.09600019454956,0.575903952121735,0.122974775731564,0.023029470816255,0.270061463117599
Uganda,4.08099985122681,0.217632606625557,0.443185955286026,0.057069718837738,0.325766056776047
Burkina Faso,4.03200006484985,0.215844258666039,0.324367851018906,0.120328105986118,0.250864684581757
Niger,4.02799987792969,0.26850500702858,0.36365869641304,0.138572946190834,0.228673845529556
Malawi,3.97000002861023,0.315089583396912,0.466914653778076,0.072711654007435,0.287170469760895
Chad,3.93600010871887,0.041134715080261,0.16234202682972,0.05358188226819,0.216113850474358
Zimbabwe,3.875,0.196763753890991,0.336384207010269,0.095375381410122,0.189143493771553
Lesotho,3.80800008773804,0,0.390661299228668,0.119094640016556,0.157497271895409
Angola,3.79500007629395,0.049868665635586,0,0.069720335304737,0.097926490008831
Afghanistan,3.79399991035461,0.180746778845787,0.106179520487785,0.061157830059528,0.311870932579041
Botswana,3.76600003242493,0.341755509376526,0.505196332931519,0.098583199083805,0.099348448216915
Benin,3.65700006484985,0.209930211305618,0.425962775945663,0.060929015278816,0.207948461174965
Madagascar,3.64400005340576,0.375223308801651,0.189196765422821,0.067231975495815,0.208732530474663
Haiti,3.6029999256134,0.277321130037308,0.03036985732615,0.099872149527073,0.489203780889511
Yemen,3.59299993515015,0.310080915689468,0.249463722109795,0.056767422705889,0.104125209152699
South Sudan,3.59100008010864,0.163486003875732,0.147062435746193,0.116793513298035,0.285670816898346
Liberia,3.53299999237061,0.229918196797371,0.332881182432175,0.038948249071837,0.26654988527298
Guinea,3.50699996948242,0.194129139184952,0.348587512969971,0.110937617719173,0.264815092086792
Togo,3.49499988555908,0.247105568647385,0.38042613863945,0.095665015280247,0.196896150708199
Rwanda,3.47099995613098,0.326424807310104,0.581843852996826,0.455220013856888,0.252756029367447
Syria,3.46199989318848,0.50053334236145,0.081539444625378,0.151347130537033,0.493663728237152
Tanzania,3.34899997711182,0.364509284496307,0.390017777681351,0.066035106778145,0.354256361722946
Burundi,2.90499997138977,0.151610791683197,0.059900753200054,0.084147945046425,0.204435184597969
Central African Republic,2.69300007820129,0.018772685900331,0.270842045545578,0.056565076112747,0.280876487493515
